created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2029-04-01 02:00:00,0.5794321356581369,5.57,1148.39,1.0,23.8,21.48
2029-04-01 03:00:00,0.6546238521784872,5.64,1147.56,1.0,23.9,18.18
2029-04-02 00:00:00,0.6663921990187694,5.63,1147.14,1.0,23.9,21.55
2029-04-04 00:00:00,0.605166867665137,5.6,1147.56,1.0,23.9,19.47
2029-04-07 00:00:00,0.6426746640316665,5.63,1148.27,1.0,24.0,20.85
2029-04-08 00:00:00,0.631945324820778,5.59,1147.44,1.0,24.1,21.16
2029-04-09 00:00:00,0.732237920849443,5.73,1133.43,1.0,24.1,18.43
2029-04-13 00:00:00,0.581056704302767,5.69,1142.56,1.0,23.9,23.17
2029-04-14 00:00:00,0.557309473147749,5.68,1142.77,1.0,23.9,20.77
2029-04-15 00:00:00,0.6018462104105579,5.68,1143.5,1.0,23.9,19.68
2029-04-16 00:00:00,0.8049749827737368,5.63,1143.71,1.0,24.0,23.9
2029-04-16 02:00:00,0.6118867314396742,5.68,1143.08,1.0,23.9,18.07
2029-04-20 00:00:00,0.5630955235003918,5.69,1141.94,1.0,23.9,19.98
2029-04-21 00:00:00,0.612277302882489,5.62,1141.73,1.0,23.9,20.0
2029-04-22 00:00:00,0.5884277751046989,5.7,1141.22,1.0,24.0,20.47
2029-04-23 00:00:00,0.7655691022249903,5.63,1141.42,1.0,24.0,24.51
2029-04-24 00:00:00,0.5751375358482981,5.66,1140.9,1.0,24.0,22.22
2029-04-25 00:00:00,0.6183387256860169,5.65,1141.63,1.0,24.1,23.0
2029-04-27 00:00:00,0.5634224721339112,5.62,1140.59,1.0,24.1,21.65
2029-04-28 00:00:00,0.6375913752625098,5.68,1139.97,1.0,24.1,22.54
2029-04-29 00:00:00,0.6437972104418217,5.63,1140.39,1.0,24.2,20.59
2029-04-30 00:00:00,0.7106638630567879,5.62,1140.18,1.0,24.2,19.87
2029-05-01 00:00:00,0.7028836679346823,5.61,1138.93,1.0,24.3,18.68
2029-05-04 00:00:00,0.617091999174039,5.69,1137.89,1.0,24.5,24.61
2029-05-05 00:00:00,0.7093029906500081,5.71,1137.79,1.0,24.7,22.92
2029-05-06 00:00:00,0.5721872401407005,5.64,1138.0,1.0,24.8,19.02
2029-05-07 00:00:00,0.6460584425970595,5.62,1137.38,1.0,24.8,20.28
2029-05-09 00:00:00,0.6636984752232994,5.61,1136.86,1.0,24.8,24.27
2029-05-10 00:00:00,0.5958499868459498,5.61,1137.06,1.0,24.8,21.65
2029-05-12 00:00:00,0.5821558790897431,5.74,1133.74,1.0,24.9,21.36
